id,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
79,1132.179782,1100.607037,1108.76048,1120.383913,1134.536648,1141.890761,1145.171101,1150.787307,1156.35362,1156.689772,1165.973659,1174.56052,1185.206865,1189.712435,1181.37869,1188.305867,1194.551831,1203.295287,1215.814612,1231.591479
80,1016.673171,1022.70714,1033.55546,1043.141442,1055.066858,1054.58044,1052.131702,1054.738688,1054.67908,1055.463072,1058.553855,1063.915338,1070.082689,1076.232537,1085.119569,1089.881553,1089.459299,1097.895578,1110.118832,1124.92651
81,875.4531112,885.9315819,900.4135971,912.9086839,928.0002503,933.6668401,936.5538479,941.6916058,947.5843641,949.7848048,951.8209637,960.6086323,971.3021308,978.7597903,988.1641403,994.0142791,996.9101235,1006.142924,1018.996647,1036.66557
82,962.9830649,968.5709988,975.7462261,983.1499057,993.0259299,994.432236,996.7242108,1000.964755,1006.53426,1007.765722,1013.372962,1018.731953,1025.9872,1031.584885,1038.306916,1045.975581,1052.395989,1061.349434,1068.867382,1079.613086
83,1439.541476,1448.261782,1459.822365,1471.203304,1484.102386,1490.666334,1493.642941,1496.475085,1499.583969,1495.926546,1499.22508,1503.995739,1511.820658,1516.39606,1523.264379,1528.887234,1536.195628,1531.197369,1533.661826,1551.466146
84,857.4359579,861.6633026,869.9364554,876.7368547,886.5490187,893.0554911,897.6432949,903.6272016,910.5656356,913.0308484,919.2699416,927.677893,937.6701637,945.9546726,957.1640844,970.1222797,982.0370294,995.3343547,1008.764585,1027.216247
85,964.0231028,967.4355784,976.7020338,985.715279,996.5668895,1007.197155,1011.203323,1015.92694,1020.087091,1024.497868,1021.562504,1026.421681,1034.989102,1040.909481,1045.251278,1055.531132,1062.790303,1070.206666,1083.421687,1098.562408
86,1121.100397,1130.668678,1146.235189,1165.697626,1187.304718,1202.310553,1205.644074,1212.313348,1217.820384,1231.675464,1233.266266,1242.446835,1254.885004,1268.827693,1282.721041,1295.58751,1313.63996,1335.713176,1362.354676,1387.404373
87,1576.367184,1586.516718,1607.493653,1630.271283,1653.980019,1670.960412,1671.774155,1666.769373,1673.198181,1684.5247,1690.553184,1704.489116,1718.23498,1730.317206,1742.482147,1746.711506,1758.861114,1777.484174,1798.281907,1814.635963
88,2451.164142,2466.270438,2495.07706,2520.90839,2552.913217,2580.296881,2590.213188,2593.561434,2601.802768,2606.504952,2603.497528,2616.1236,2623.938771,2630.96757,2639.497492,2628.229821,2630.301272,2644.377103,2665.503598,2675.922844
89,2084.665804,2102.385953,2130.211249,2155.121182,2183.131713,2204.357395,2211.223445,2216.113006,2220.103841,2232.667274,2238.01526,2252.902094,2265.278803,2278.342807,2291.368013,2288.663717,2297.252464,2301.709895,2326.296284,2342.428361
90,2354.40747,2373.310302,2404.375415,2434.103621,2461.014309,2472.151745,2472.51028,2467.922788,2460.446625,2464.379924,2471.801628,2485.65011,2503.553891,2514.383606,2527.367859,2526.511177,2530.615171,2542.029709,2550.872108,2553.948226
91,2444.006142,2466.877088,2499.375354,2535.271387,2566.93314,2589.088991,2595.339828,2598.304048,2597.204018,2587.719553,2594.025444,2600.071814,2611.378137,2615.271318,2625.557897,2641.314969,2653.069718,2651.768844,2638.685539,2639.08585
92,2194.868518,2204.852432,2224.079716,2253.238066,2273.033113,2291.849786,2293.3086,2293.503504,2284.284724,2275.108166,2282.925863,2289.832648,2298.163254,2308.991398,2322.716386,2334.29277,2351.320931,2366.249061,2371.951716,2380.951596
93,2097.586976,2112.515709,2143.707979,2179.881616,2202.245489,2216.177467,2208.841675,2201.002157,2192.751252,2188.654365,2197.571726,2192.293797,2181.115902,2175.327543,2172.046445,2158.443181,2162.333186,2159.430672,2162.017254,2170.379394
94,2567.77563,2597.136931,2634.502937,2670.596629,2690.930678,2707.780469,2695.670275,2676.619484,2667.883056,2666.803761,2665.607301,2663.07328,2665.0404,2669.776967,2673.634527,2674.312596,2669.035579,2673.623389,2682.577415,2693.133841
95,2682.713399,2727.507264,2789.281403,2841.860205,2877.401065,2903.945998,2894.297213,2882.693113,2867.266106,2864.075291,2872.092852,2869.362757,2870.66989,2876.126831,2874.612119,2860.463749,2857.905439,2848.165864,2840.739481,2834.016645
96,2019.69748,2069.579099,2132.809402,2188.284339,2231.782672,2252.584045,2251.001334,2256.316856,2260.101735,2269.816248,2301.168908,2330.010365,2355.938909,2394.305052,2421.87361,2436.855017,2446.478434,2449.260648,2440.210281,2427.334691
97,4866.40939,4902.825844,4962.390034,5013.753295,5053.886758,5074.527196,5039.582603,5019.361863,5013.447389,4999.58392,5006.864245,4976.586669,4991.853417,5040.900455,5076.161882,5097.542268,5099.782186,5101.058628,5073.84971,5059.175676
98,2409.484049,2444.182334,2453.964322,2466.835417,2476.238515,2470.768047,2444.341675,2421.8141,2405.588177,2400.158166,2395.502654,2365.792033,2362.122421,2408.224395,2406.414465,2404.253083,2391.85472,2389.310529,2399.863282,2415.656109
